source,country,area,date,hour,price,currency,unit,granularity,ingested_at
ember,Finland,Finland,2015-01-01,,24.51,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-02,,25.16,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-03,,24.73,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-04,,28.65,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-05,,41.29,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-06,,32.3,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-07,,32.93,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-08,,29.87,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-09,,33.31,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-10,,28.57,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-11,,27.4,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-12,,50.22,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-13,,48.24,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-14,,34.08,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-15,,35.43,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-16,,33.34,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-17,,28.5,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-18,,28.24,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-19,,38.42,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-20,,36.59,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-21,,40.69,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-22,,41.64,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-23,,40.45,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-24,,28.95,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-25,,28.79,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-26,,37.84,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-27,,41.72,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-28,,32.35,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-29,,32.02,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-30,,33.71,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-01-31,,28.0,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-01,,27.76,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-02,,34.97,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-03,,37.83,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-04,,42.71,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-05,,38.03,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-06,,33.1,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-07,,26.9,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-08,,27.54,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-09,,39.79,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-10,,33.4,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
ember,Finland,Finland,2015-02-11,,34.14,EUR,EUR/MWh,daily,2026-02-09 12:25:50.795948+00:00
