area,time_start,time_end,date,hour,price,currency,unit
SE1,2026-02-01 00:00:00+01:00,2026-02-01 00:15:00+01:00,2026-02-01,0.0,0.47039,SEK,SEK/kWh
SE1,2026-02-01 00:15:00+01:00,2026-02-01 00:30:00+01:00,2026-02-01,0.0,0.46753,SEK,SEK/kWh
SE1,2026-02-01 00:30:00+01:00,2026-02-01 00:45:00+01:00,2026-02-01,0.0,0.4669,SEK,SEK/kWh
SE1,2026-02-01 00:45:00+01:00,2026-02-01 01:00:00+01:00,2026-02-01,0.0,0.46394,SEK,SEK/kWh
SE1,2026-02-01 01:00:00+01:00,2026-02-01 01:15:00+01:00,2026-02-01,1.0,0.47113,SEK,SEK/kWh
SE1,2026-02-01 01:15:00+01:00,2026-02-01 01:30:00+01:00,2026-02-01,1.0,0.47103,SEK,SEK/kWh
SE1,2026-02-01 01:30:00+01:00,2026-02-01 01:45:00+01:00,2026-02-01,1.0,0.46997,SEK,SEK/kWh
SE1,2026-02-01 01:45:00+01:00,2026-02-01 02:00:00+01:00,2026-02-01,1.0,0.46796,SEK,SEK/kWh
SE1,2026-02-01 02:00:00+01:00,2026-02-01 02:15:00+01:00,2026-02-01,2.0,0.47896,SEK,SEK/kWh
SE1,2026-02-01 02:15:00+01:00,2026-02-01 02:30:00+01:00,2026-02-01,2.0,0.47579,SEK,SEK/kWh
SE1,2026-02-01 02:30:00+01:00,2026-02-01 02:45:00+01:00,2026-02-01,2.0,0.47843,SEK,SEK/kWh
SE1,2026-02-01 02:45:00+01:00,2026-02-01 03:00:00+01:00,2026-02-01,2.0,0.47304,SEK,SEK/kWh
SE1,2026-02-01 03:00:00+01:00,2026-02-01 03:15:00+01:00,2026-02-01,3.0,0.47505,SEK,SEK/kWh
SE1,2026-02-01 03:15:00+01:00,2026-02-01 03:30:00+01:00,2026-02-01,3.0,0.47547,SEK,SEK/kWh
SE1,2026-02-01 03:30:00+01:00,2026-02-01 03:45:00+01:00,2026-02-01,3.0,0.47854,SEK,SEK/kWh
SE1,2026-02-01 03:45:00+01:00,2026-02-01 04:00:00+01:00,2026-02-01,3.0,0.49674,SEK,SEK/kWh
SE1,2026-02-01 04:00:00+01:00,2026-02-01 04:15:00+01:00,2026-02-01,4.0,0.50742,SEK,SEK/kWh
SE1,2026-02-01 04:15:00+01:00,2026-02-01 04:30:00+01:00,2026-02-01,4.0,0.51197,SEK,SEK/kWh
SE1,2026-02-01 04:30:00+01:00,2026-02-01 04:45:00+01:00,2026-02-01,4.0,0.54096,SEK,SEK/kWh
SE1,2026-02-01 04:45:00+01:00,2026-02-01 05:00:00+01:00,2026-02-01,4.0,0.56519,SEK,SEK/kWh
SE1,2026-02-01 05:00:00+01:00,2026-02-01 05:15:00+01:00,2026-02-01,5.0,0.54562,SEK,SEK/kWh
SE1,2026-02-01 05:15:00+01:00,2026-02-01 05:30:00+01:00,2026-02-01,5.0,0.56561,SEK,SEK/kWh
SE1,2026-02-01 05:30:00+01:00,2026-02-01 05:45:00+01:00,2026-02-01,5.0,0.61544,SEK,SEK/kWh
SE1,2026-02-01 05:45:00+01:00,2026-02-01 06:00:00+01:00,2026-02-01,5.0,0.65269,SEK,SEK/kWh
SE1,2026-02-01 06:00:00+01:00,2026-02-01 06:15:00+01:00,2026-02-01,6.0,0.55069,SEK,SEK/kWh
SE1,2026-02-01 06:15:00+01:00,2026-02-01 06:30:00+01:00,2026-02-01,6.0,0.60444,SEK,SEK/kWh
SE1,2026-02-01 06:30:00+01:00,2026-02-01 06:45:00+01:00,2026-02-01,6.0,0.65004,SEK,SEK/kWh
SE1,2026-02-01 06:45:00+01:00,2026-02-01 07:00:00+01:00,2026-02-01,6.0,0.66612,SEK,SEK/kWh
SE1,2026-02-01 07:00:00+01:00,2026-02-01 07:15:00+01:00,2026-02-01,7.0,0.59957,SEK,SEK/kWh
SE1,2026-02-01 07:15:00+01:00,2026-02-01 07:30:00+01:00,2026-02-01,7.0,0.61872,SEK,SEK/kWh
SE1,2026-02-01 07:30:00+01:00,2026-02-01 07:45:00+01:00,2026-02-01,7.0,0.63766,SEK,SEK/kWh
SE1,2026-02-01 07:45:00+01:00,2026-02-01 08:00:00+01:00,2026-02-01,7.0,0.62867,SEK,SEK/kWh
SE1,2026-02-01 08:00:00+01:00,2026-02-01 08:15:00+01:00,2026-02-01,8.0,0.55683,SEK,SEK/kWh
SE1,2026-02-01 08:15:00+01:00,2026-02-01 08:30:00+01:00,2026-02-01,8.0,0.57862,SEK,SEK/kWh
SE1,2026-02-01 08:30:00+01:00,2026-02-01 08:45:00+01:00,2026-02-01,8.0,0.61671,SEK,SEK/kWh
SE1,2026-02-01 08:45:00+01:00,2026-02-01 09:00:00+01:00,2026-02-01,8.0,0.72992,SEK,SEK/kWh
SE1,2026-02-01 09:00:00+01:00,2026-02-01 09:15:00+01:00,2026-02-01,9.0,0.57831,SEK,SEK/kWh
SE1,2026-02-01 09:15:00+01:00,2026-02-01 09:30:00+01:00,2026-02-01,9.0,0.63057,SEK,SEK/kWh
SE1,2026-02-01 09:30:00+01:00,2026-02-01 09:45:00+01:00,2026-02-01,9.0,0.65068,SEK,SEK/kWh
SE1,2026-02-01 09:45:00+01:00,2026-02-01 10:00:00+01:00,2026-02-01,9.0,0.67966,SEK,SEK/kWh
SE1,2026-02-01 10:00:00+01:00,2026-02-01 10:15:00+01:00,2026-02-01,10.0,0.63682,SEK,SEK/kWh
